country,country_code,region,income_group,year,digital_id_usage_pct,indicator_description,unit_of_measure,frequency,aggregation_method,source_database,data_status,confidentiality_status
Argentina,ARG,Latin America & Caribbean,Upper middle income,2024,52.31,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Argentina,ARG,Latin America & Caribbean,Upper middle income,2024,44.31,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Argentina,ARG,Latin America & Caribbean,Upper middle income,2024,51.76,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Argentina,ARG,Latin America & Caribbean,Upper middle income,2024,55.24,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Argentina,ARG,Latin America & Caribbean,Upper middle income,2024,47.54,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Argentina,ARG,Latin America & Caribbean,Upper middle income,2024,54.97,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Argentina,ARG,Latin America & Caribbean,Upper middle income,2024,48.81,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Argentina,ARG,Latin America & Caribbean,Upper middle income,2024,61.34,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Argentina,ARG,Latin America & Caribbean,Upper middle income,2024,54.11,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Argentina,ARG,Latin America & Caribbean,Upper middle income,2024,56.43,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Argentina,ARG,Latin America & Caribbean,Upper middle income,2024,50.01,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Argentina,ARG,Latin America & Caribbean,Upper middle income,2024,51.97,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Australia,AUS,East Asia & Pacific,High income,2024,12.61,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Australia,AUS,East Asia & Pacific,High income,2024,57.46,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Australia,AUS,East Asia & Pacific,High income,2024,70.59,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Australia,AUS,East Asia & Pacific,High income,2024,64.54,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Australia,AUS,East Asia & Pacific,High income,2024,75.92,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Australia,AUS,East Asia & Pacific,High income,2024,69.62,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Australia,AUS,East Asia & Pacific,High income,2024,74.14,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Australia,AUS,East Asia & Pacific,High income,2024,69.64,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Australia,AUS,East Asia & Pacific,High income,2024,73.66,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Australia,AUS,East Asia & Pacific,High income,2024,71.73,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Australia,AUS,East Asia & Pacific,High income,2024,75.96,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Australia,AUS,East Asia & Pacific,High income,2024,67.45,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Australia,AUS,East Asia & Pacific,High income,2024,71.66,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Austria,AUT,Europe & Central Asia,High income,2024,85.39,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Austria,AUT,Europe & Central Asia,High income,2024,85.09,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Austria,AUT,Europe & Central Asia,High income,2024,87.76,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Austria,AUT,Europe & Central Asia,High income,2024,85.47,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Austria,AUT,Europe & Central Asia,High income,2024,81.28,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Austria,AUT,Europe & Central Asia,High income,2024,83.13,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Austria,AUT,Europe & Central Asia,High income,2024,83.29,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Austria,AUT,Europe & Central Asia,High income,2024,84.63,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Austria,AUT,Europe & Central Asia,High income,2024,84.77,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Austria,AUT,Europe & Central Asia,High income,2024,85.11,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Austria,AUT,Europe & Central Asia,High income,2024,87.68,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Austria,AUT,Europe & Central Asia,High income,2024,97.14,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2024,74.91,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2024,77.65,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2024,80.51,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2024,76.84,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2024,80.79,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2024,85.55,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2024,76.5,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Bahrain,BHR,Middle East & North Africa,High income,2024,85.59,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Bahrain,BHR,Middle East & North Africa,High income,2024,84.71,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Bahrain,BHR,Middle East & North Africa,High income,2024,84.79,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Bahrain,BHR,Middle East & North Africa,High income,2024,85.84,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Bahrain,BHR,Middle East & North Africa,High income,2024,84.2,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Bahrain,BHR,Middle East & North Africa,High income,2024,86.18,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Bahrain,BHR,Middle East & North Africa,High income,2024,83.99,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Bahrain,BHR,Middle East & North Africa,High income,2024,84.46,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
Bahrain,BHR,Middle East & North Africa,High income,2024,88.3,Online digital ID has been used on phone or computer to confirm identity online,Percentage of respondents in the same subgroup,Triennial,Weighted Average,Identification for Development (ID4D) Global Dataset,A,PU
