country_code,year,digital_id_usage_pct,nivel_adocao,gap_digital
ARG,2024,52.31,Em Expansão,47.69
ARG,2024,44.31,Em Expansão,55.69
ARG,2024,51.76,Em Expansão,48.24
ARG,2024,55.24,Em Expansão,44.76
ARG,2024,47.54,Em Expansão,52.46
ARG,2024,54.97,Em Expansão,45.03
ARG,2024,48.81,Em Expansão,51.19
ARG,2024,61.34,Em Expansão,38.66
ARG,2024,54.11,Em Expansão,45.89
ARG,2024,56.43,Em Expansão,43.57
ARG,2024,50.01,Em Expansão,49.99
ARG,2024,51.97,Em Expansão,48.03
AUS,2024,12.61,Início,87.39
AUS,2024,57.46,Em Expansão,42.54
AUS,2024,70.59,Líder,29.409999999999997
AUS,2024,64.54,Em Expansão,35.459999999999994
AUS,2024,75.92,Líder,24.08
AUS,2024,69.62,Em Expansão,30.379999999999995
AUS,2024,74.14,Líder,25.86
AUS,2024,69.64,Em Expansão,30.36
AUS,2024,73.66,Líder,26.340000000000003
AUS,2024,71.73,Líder,28.269999999999996
AUS,2024,75.96,Líder,24.040000000000006
AUS,2024,67.45,Em Expansão,32.55
AUS,2024,71.66,Líder,28.340000000000003
AUT,2024,85.39,Líder,14.61
AUT,2024,85.09,Líder,14.909999999999997
AUT,2024,87.76,Líder,12.239999999999995
AUT,2024,85.47,Líder,14.530000000000001
AUT,2024,81.28,Líder,18.72
AUT,2024,83.13,Líder,16.870000000000005
AUT,2024,83.29,Líder,16.709999999999994
AUT,2024,84.63,Líder,15.370000000000005
AUT,2024,84.77,Líder,15.230000000000004
AUT,2024,85.11,Líder,14.89
AUT,2024,87.68,Líder,12.319999999999993
AUT,2024,97.14,Líder,2.8599999999999994
AZE,2024,74.91,Líder,25.090000000000003
AZE,2024,77.65,Líder,22.349999999999994
AZE,2024,80.51,Líder,19.489999999999995
AZE,2024,76.84,Líder,23.159999999999997
AZE,2024,80.79,Líder,19.209999999999994
AZE,2024,85.55,Líder,14.450000000000003
AZE,2024,76.5,Líder,23.5
BHR,2024,85.59,Líder,14.409999999999997
BHR,2024,84.71,Líder,15.290000000000006
BHR,2024,84.79,Líder,15.209999999999994
BHR,2024,85.84,Líder,14.159999999999997
BHR,2024,84.2,Líder,15.799999999999997
BHR,2024,86.18,Líder,13.819999999999993
BHR,2024,83.99,Líder,16.010000000000005
BHR,2024,84.46,Líder,15.540000000000006
BHR,2024,84.71,Líder,15.290000000000006
BHR,2024,88.3,Líder,11.700000000000003
BHR,2024,68.6,Em Expansão,31.400000000000006
BHR,2024,84.1,Líder,15.900000000000006
BEL,2024,92.96,Líder,7.040000000000006
BEL,2024,85.01,Líder,14.989999999999995
BEL,2024,95.78,Líder,4.219999999999999
BEL,2024,92.95,Líder,7.049999999999997
BEL,2024,93.36,Líder,6.640000000000001
BEL,2024,92.53,Líder,7.469999999999999
BEL,2024,92.74,Líder,7.260000000000005
BEL,2024,93.2,Líder,6.799999999999997
BEL,2024,91.15,Líder,8.849999999999994
BEL,2024,93.29,Líder,6.709999999999994
BEL,2024,90.16,Líder,9.840000000000003
BEL,2024,93.11,Líder,6.890000000000001
BEL,2024,95.5,Líder,4.5
BEN,2024,51.61,Em Expansão,48.39
BEN,2024,25.51,Início,74.49
BEN,2024,10.81,Início,89.19
BEN,2024,23.71,Início,76.28999999999999
BEN,2024,22.89,Início,77.11
BEN,2024,17.61,Início,82.39
BEN,2024,20.23,Início,79.77
BEN,2024,32.43,Início,67.57
BEN,2024,35.4,Início,64.6
BEN,2024,29.55,Início,70.45
BEN,2024,14.94,Início,85.06
BEN,2024,46.91,Em Expansão,53.09
BRA,2024,84.74,Líder,15.260000000000005
BRA,2024,64.53,Em Expansão,35.47
BRA,2024,82.11,Líder,17.89
BRA,2024,88.38,Líder,11.620000000000005
BRA,2024,69.3,Em Expansão,30.700000000000003
BRA,2024,81.41,Líder,18.590000000000003
BRA,2024,84.06,Líder,15.939999999999998
BRA,2024,82.53,Líder,17.47
BRA,2024,81.94,Líder,18.060000000000002
BRA,2024,75.89,Líder,24.11
BRA,2024,83.89,Líder,16.11
BRA,2024,80.85,Líder,19.150000000000006
BRA,2024,78.31,Líder,21.689999999999998
CAN,2024,78.87,Líder,21.129999999999995
CAN,2024,82.2,Líder,17.799999999999997
CAN,2024,79.76,Líder,20.239999999999995
CAN,2024,75.4,Líder,24.599999999999994
CAN,2024,74.33,Líder,25.67
CAN,2024,79.23,Líder,20.769999999999996
CAN,2024,77.88,Líder,22.120000000000005
CAN,2024,76.78,Líder,23.22
CAN,2024,78.72,Líder,21.28
CAN,2024,79.87,Líder,20.129999999999995
CAN,2024,73.76,Líder,26.239999999999995
CAN,2024,78.52,Líder,21.480000000000004
CHL,2024,60.82,Em Expansão,39.18
CHL,2024,69.24,Em Expansão,30.760000000000005
CHL,2024,73.93,Líder,26.069999999999993
CHL,2024,74.12,Líder,25.879999999999995
CHL,2024,71.26,Líder,28.739999999999995
CHL,2024,76.52,Líder,23.480000000000004
CHL,2024,51.92,Em Expansão,48.08
CHL,2024,34.06,Início,65.94
CHL,2024,89.06,Líder,10.939999999999998
CHL,2024,64.59,Em Expansão,35.41
CHL,2024,77.93,Líder,22.069999999999993
CHL,2024,64.99,Em Expansão,35.010000000000005
CHL,2024,66.1,Em Expansão,33.900000000000006
CHN,2024,83.04,Líder,16.959999999999994
CHN,2024,83.1,Líder,16.900000000000006
CHN,2024,73.93,Líder,26.069999999999993
CHN,2024,75.99,Líder,24.010000000000005
CHN,2024,80.58,Líder,19.42
CHN,2024,84.7,Líder,15.299999999999997
CHN,2024,80.77,Líder,19.230000000000004
CHN,2024,81.74,Líder,18.260000000000005
CHN,2024,83.62,Líder,16.379999999999995
CHN,2024,74.58,Líder,25.42
CHN,2024,82.33,Líder,17.67
COL,2024,23.22,Início,76.78
CYP,2024,26.94,Início,73.06
CYP,2024,33.87,Início,66.13
CYP,2024,26.93,Início,73.07
CYP,2024,26.72,Início,73.28
CYP,2024,14.18,Início,85.82
CYP,2024,32.36,Início,67.64
CYP,2024,27.2,Início,72.8
CYP,2024,27.29,Início,72.71000000000001
CYP,2024,11.44,Início,88.56
CYP,2024,33.91,Início,66.09
CYP,2024,19.83,Início,80.17
CZE,2024,84.02,Líder,15.980000000000004
CZE,2024,83.45,Líder,16.549999999999997
CZE,2024,82.73,Líder,17.269999999999996
CZE,2024,80.18,Líder,19.819999999999993
CZE,2024,83.76,Líder,16.239999999999995
CZE,2024,84.18,Líder,15.819999999999993
CZE,2024,80.18,Líder,19.819999999999993
CZE,2024,84.39,Líder,15.61
CZE,2024,85.07,Líder,14.930000000000007
CZE,2024,83.89,Líder,16.11
CZE,2024,86.61,Líder,13.39
CZE,2024,83.25,Líder,16.75
CZE,2024,78.63,Líder,21.370000000000005
DNK,2024,96.04,Líder,3.9599999999999937
DNK,2024,96.72,Líder,3.280000000000001
DNK,2024,96.19,Líder,3.8100000000000023
DNK,2024,96.44,Líder,3.5600000000000023
DNK,2024,96.65,Líder,3.3499999999999943
DNK,2024,94.22,Líder,5.780000000000001
DNK,2024,98.82,Líder,1.1800000000000068
DNK,2024,94.24,Líder,5.760000000000005
DNK,2024,96.01,Líder,3.989999999999995
DNK,2024,96.85,Líder,3.1500000000000057
DNK,2024,97.44,Líder,2.5600000000000023
DNK,2024,96.8,Líder,3.200000000000003
DNK,2024,96.31,Líder,3.6899999999999977
SLV,2024,73.93,Líder,26.069999999999993
SLV,2024,81.12,Líder,18.879999999999995
SLV,2024,71.6,Líder,28.400000000000006
SLV,2024,69.56,Em Expansão,30.439999999999998
SLV,2024,76.07,Líder,23.930000000000007
FIN,2024,96.63,Líder,3.3700000000000045
FIN,2024,92.96,Líder,7.040000000000006
FIN,2024,96.49,Líder,3.510000000000005
FIN,2024,90.6,Líder,9.400000000000006
FIN,2024,94.18,Líder,5.819999999999993
FIN,2024,94.18,Líder,5.819999999999993
FIN,2024,95.36,Líder,4.640000000000001
FIN,2024,94.18,Líder,5.819999999999993
FIN,2024,94.94,Líder,5.060000000000002
FIN,2024,93.41,Líder,6.590000000000003
FIN,2024,84.39,Líder,15.61
FIN,2024,89.07,Líder,10.930000000000007
FIN,2024,96.49,Líder,3.510000000000005
FRA,2024,96.69,Líder,3.3100000000000023
FRA,2024,93.17,Líder,6.829999999999998
FRA,2024,92.66,Líder,7.340000000000003
FRA,2024,91.08,Líder,8.920000000000002
FRA,2024,95.59,Líder,4.409999999999997
FRA,2024,90.26,Líder,9.739999999999995
FRA,2024,88.01,Líder,11.989999999999995
FRA,2024,89.5,Líder,10.5
FRA,2024,90.84,Líder,9.159999999999997
FRA,2024,90.39,Líder,9.61
FRA,2024,92.79,Líder,7.209999999999994
FRA,2024,91.34,Líder,8.659999999999997
FRA,2024,89.98,Líder,10.019999999999996
DEU,2024,70.77,Líder,29.230000000000004
DEU,2024,71.73,Líder,28.269999999999996
DEU,2024,70.42,Líder,29.58
DEU,2024,69.44,Em Expansão,30.560000000000002
DEU,2024,69.41,Em Expansão,30.590000000000003
DEU,2024,67.99,Em Expansão,32.010000000000005
DEU,2024,71.93,Líder,28.069999999999993
DEU,2024,70.63,Líder,29.370000000000005
DEU,2024,69.09,Em Expansão,30.909999999999997
DEU,2024,73.54,Líder,26.459999999999994
DEU,2024,67.54,Em Expansão,32.459999999999994
GRC,2024,30.05,Início,69.95
GRC,2024,24.44,Início,75.56
GRC,2024,22.67,Início,77.33
GRC,2024,32.44,Início,67.56
GRC,2024,29.62,Início,70.38
GRC,2024,39.46,Início,60.54
GRC,2024,29.02,Início,70.98
GRC,2024,39.07,Início,60.93
HKG,2024,90.98,Líder,9.019999999999996
HKG,2024,90.06,Líder,9.939999999999998
HKG,2024,90.18,Líder,9.819999999999993
HKG,2024,89.28,Líder,10.719999999999999
HKG,2024,86.05,Líder,13.950000000000003
HKG,2024,88.87,Líder,11.129999999999995
HKG,2024,91.0,Líder,9.0
HKG,2024,84.07,Líder,15.930000000000007
HKG,2024,89.39,Líder,10.61
HKG,2024,87.32,Líder,12.680000000000007
HKG,2024,89.18,Líder,10.819999999999993
HUN,2024,32.93,Início,67.07
HUN,2024,33.75,Início,66.25
HUN,2024,29.12,Início,70.88
HUN,2024,29.92,Início,70.08
HUN,2024,36.82,Início,63.18
HUN,2024,50.78,Em Expansão,49.22
HUN,2024,25.37,Início,74.63
HUN,2024,30.58,Início,69.42
HUN,2024,36.14,Início,63.86
HUN,2024,33.0,Início,67.0
HUN,2024,32.14,Início,67.86
HUN,2024,34.57,Início,65.43
ISL,2024,97.57,Líder,2.430000000000007
ISL,2024,95.34,Líder,4.659999999999997
ISL,2024,98.79,Líder,1.2099999999999937
ISL,2024,97.12,Líder,2.8799999999999955
ISL,2024,96.77,Líder,3.230000000000004
ISL,2024,97.96,Líder,2.0400000000000063
ISL,2024,97.99,Líder,2.010000000000005
ISL,2024,98.53,Líder,1.4699999999999989
ISL,2024,97.69,Líder,2.3100000000000023
ISL,2024,94.95,Líder,5.049999999999997
ISL,2024,97.76,Líder,2.239999999999995
ISL,2024,98.51,Líder,1.4899999999999949
ISL,2024,95.69,Líder,4.310000000000002
IDN,2024,19.23,Início,80.77
IDN,2024,45.16,Em Expansão,54.84
IDN,2024,34.01,Início,65.99000000000001
IDN,2024,43.02,Em Expansão,56.98
IDN,2024,46.01,Em Expansão,53.99
IDN,2024,29.97,Início,70.03
IDN,2024,44.39,Em Expansão,55.61
IDN,2024,38.09,Início,61.91
IDN,2024,36.02,Início,63.98
IDN,2024,53.37,Em Expansão,46.63
IDN,2024,32.21,Início,67.78999999999999
IDN,2024,44.88,Em Expansão,55.12
IDN,2024,24.56,Início,75.44
IRL,2024,68.26,Em Expansão,31.739999999999995
IRL,2024,71.66,Líder,28.340000000000003
IRL,2024,75.34,Líder,24.659999999999997
IRL,2024,70.01,Líder,29.989999999999995
IRL,2024,68.86,Em Expansão,31.14
IRL,2024,69.11,Em Expansão,30.89
IRL,2024,66.98,Em Expansão,33.019999999999996
IRL,2024,69.96,Em Expansão,30.040000000000006
IRL,2024,72.29,Líder,27.709999999999994
IRL,2024,71.07,Líder,28.930000000000007
IRL,2024,67.27,Em Expansão,32.730000000000004
IRL,2024,71.02,Líder,28.980000000000004
ITA,2024,58.62,Em Expansão,41.38
ITA,2024,87.35,Líder,12.650000000000006
ITA,2024,75.85,Líder,24.150000000000006
ITA,2024,74.07,Líder,25.930000000000007
ITA,2024,89.25,Líder,10.75
ITA,2024,55.25,Em Expansão,44.75
ITA,2024,82.56,Líder,17.439999999999998
ITA,2024,77.21,Líder,22.790000000000006
ITA,2024,75.77,Líder,24.230000000000004
ITA,2024,91.29,Líder,8.709999999999994
ITA,2024,76.77,Líder,23.230000000000004
ITA,2024,76.33,Líder,23.67
ITA,2024,74.12,Líder,25.879999999999995
JPN,2024,21.25,Início,78.75
JPN,2024,35.35,Início,64.65
JPN,2024,44.91,Em Expansão,55.09
JPN,2024,43.53,Em Expansão,56.47
JPN,2024,18.01,Início,81.99
JPN,2024,36.86,Início,63.14
JPN,2024,28.69,Início,71.31
JPN,2024,25.67,Início,74.33
JPN,2024,48.93,Em Expansão,51.07
JPN,2024,27.82,Início,72.18
JPN,2024,40.81,Em Expansão,59.19
JPN,2024,39.85,Início,60.15
JPN,2024,33.93,Início,66.07
JOR,2024,44.09,Em Expansão,55.91
JOR,2024,61.4,Em Expansão,38.6
JOR,2024,53.41,Em Expansão,46.59
JOR,2024,54.35,Em Expansão,45.65
JOR,2024,55.86,Em Expansão,44.14
JOR,2024,45.86,Em Expansão,54.14
JOR,2024,52.74,Em Expansão,47.26
JOR,2024,50.65,Em Expansão,49.35
JOR,2024,58.52,Em Expansão,41.48
JOR,2024,57.68,Em Expansão,42.32
JOR,2024,51.66,Em Expansão,48.34
JOR,2024,59.99,Em Expansão,40.01
KOR,2024,90.61,Líder,9.39
KOR,2024,93.68,Líder,6.319999999999993
KOR,2024,92.05,Líder,7.950000000000003
KOR,2024,83.49,Líder,16.510000000000005
KOR,2024,83.89,Líder,16.11
KOR,2024,88.29,Líder,11.709999999999994
KOR,2024,56.02,Em Expansão,43.98
KOR,2024,92.82,Líder,7.180000000000007
KOR,2024,91.65,Líder,8.349999999999994
KOR,2024,79.66,Líder,20.340000000000003
KOR,2024,92.55,Líder,7.450000000000003
KOR,2024,82.33,Líder,17.67
KOR,2024,89.96,Líder,10.040000000000006
KWT,2024,79.09,Líder,20.909999999999997
KWT,2024,74.39,Líder,25.61
KWT,2024,73.59,Líder,26.409999999999997
KWT,2024,73.73,Líder,26.269999999999996
KWT,2024,73.53,Líder,26.47
KWT,2024,68.71,Em Expansão,31.290000000000006
KWT,2024,75.25,Líder,24.75
KWT,2024,77.71,Líder,22.290000000000006
KWT,2024,82.75,Líder,17.25
KWT,2024,71.48,Líder,28.519999999999996
KWT,2024,75.69,Líder,24.310000000000002
KWT,2024,75.87,Líder,24.129999999999995
KWT,2024,69.45,Em Expansão,30.549999999999997
KGZ,2024,38.76,Início,61.24
KGZ,2024,41.73,Em Expansão,58.27
KGZ,2024,42.47,Em Expansão,57.53
KGZ,2024,38.55,Início,61.45
KGZ,2024,7.37,Início,92.63
KGZ,2024,44.08,Em Expansão,55.92
KGZ,2024,43.61,Em Expansão,56.39
KGZ,2024,39.09,Início,60.91
KGZ,2024,43.73,Em Expansão,56.27
KGZ,2024,37.41,Início,62.59
KGZ,2024,44.74,Em Expansão,55.26
KGZ,2024,32.64,Início,67.36
KGZ,2024,43.72,Em Expansão,56.28
LVA,2024,80.51,Líder,19.489999999999995
LVA,2024,82.33,Líder,17.67
LVA,2024,80.5,Líder,19.5
LVA,2024,70.07,Líder,29.930000000000007
LVA,2024,82.45,Líder,17.549999999999997
LVA,2024,82.49,Líder,17.510000000000005
LVA,2024,79.23,Líder,20.769999999999996
LVA,2024,74.03,Líder,25.97
LVA,2024,83.68,Líder,16.319999999999993
LVA,2024,84.33,Líder,15.670000000000002
LVA,2024,80.99,Líder,19.010000000000005
LVA,2024,86.05,Líder,13.950000000000003
LVA,2024,75.09,Líder,24.909999999999997
MNG,2024,79.35,Líder,20.650000000000006
MNG,2024,89.74,Líder,10.260000000000005
MNG,2024,83.98,Líder,16.019999999999996
MNG,2024,85.88,Líder,14.120000000000005
MNG,2024,76.15,Líder,23.849999999999994
MNG,2024,83.43,Líder,16.569999999999993
MNG,2024,80.05,Líder,19.950000000000003
MNG,2024,74.79,Líder,25.209999999999994
MNG,2024,59.26,Em Expansão,40.74
MNG,2024,85.11,Líder,14.89
MNG,2024,76.87,Líder,23.129999999999995
MNG,2024,81.22,Líder,18.78
MNG,2024,82.67,Líder,17.33
MNE,2024,0.0,Início,100.0
MNE,2024,12.16,Início,87.84
MNE,2024,11.0,Início,89.0
MNE,2024,10.08,Início,89.92
MNE,2024,4.46,Início,95.54
MNE,2024,5.12,Início,94.88
MNE,2024,9.25,Início,90.75
MNE,2024,11.24,Início,88.76
MNE,2024,10.07,Início,89.93
MNE,2024,5.36,Início,94.64
MNE,2024,8.49,Início,91.51
MNE,2024,6.56,Início,93.44
MNE,2024,16.16,Início,83.84
MAR,2024,10.26,Início,89.74
MAR,2024,17.43,Início,82.57
MAR,2024,4.49,Início,95.51
MAR,2024,7.34,Início,92.66
MAR,2024,16.14,Início,83.86
MAR,2024,13.65,Início,86.35
MAR,2024,10.68,Início,89.32
MAR,2024,10.76,Início,89.24
MAR,2024,25.12,Início,74.88
MAR,2024,15.5,Início,84.5
MAR,2024,13.49,Início,86.51
MAR,2024,26.03,Início,73.97
MAR,2024,13.4,Início,86.6
NLD,2024,89.88,Líder,10.120000000000005
NLD,2024,82.9,Líder,17.099999999999994
NLD,2024,85.05,Líder,14.950000000000003
NLD,2024,84.88,Líder,15.120000000000005
NLD,2024,86.05,Líder,13.950000000000003
NLD,2024,96.86,Líder,3.1400000000000006
NLD,2024,83.9,Líder,16.099999999999994
NLD,2024,80.5,Líder,19.5
NLD,2024,88.9,Líder,11.099999999999994
NLD,2024,74.46,Líder,25.540000000000006
NLD,2024,62.29,Em Expansão,37.71
NLD,2024,81.66,Líder,18.340000000000003
NLD,2024,81.98,Líder,18.019999999999996
NZL,2024,84.04,Líder,15.959999999999994
NZL,2024,85.46,Líder,14.540000000000006
NZL,2024,84.46,Líder,15.540000000000006
NZL,2024,86.53,Líder,13.469999999999999
NZL,2024,88.52,Líder,11.480000000000004
NZL,2024,84.99,Líder,15.010000000000005
NZL,2024,51.24,Em Expansão,48.76
NZL,2024,89.08,Líder,10.920000000000002
NZL,2024,85.2,Líder,14.799999999999997
NZL,2024,81.06,Líder,18.939999999999998
NZL,2024,85.3,Líder,14.700000000000003
NZL,2024,84.93,Líder,15.069999999999993
NZL,2024,87.13,Líder,12.870000000000005
NOR,2024,96.58,Líder,3.4200000000000017
NOR,2024,97.29,Líder,2.7099999999999937
NOR,2024,96.63,Líder,3.3700000000000045
NOR,2024,96.13,Líder,3.8700000000000045
NOR,2024,97.45,Líder,2.549999999999997
NOR,2024,94.59,Líder,5.409999999999997
NOR,2024,96.68,Líder,3.319999999999993
NOR,2024,91.57,Líder,8.430000000000007
NOR,2024,95.62,Líder,4.3799999999999955
NOR,2024,100.0,Líder,0.0
NOR,2024,97.47,Líder,2.530000000000001
NOR,2024,98.64,Líder,1.3599999999999994
NOR,2024,97.8,Líder,2.200000000000003
PAN,2024,47.11,Em Expansão,52.89
PAN,2024,23.21,Início,76.78999999999999
PAN,2024,32.11,Início,67.89
PAN,2024,36.72,Início,63.28
PAN,2024,37.82,Início,62.18
PAN,2024,43.61,Em Expansão,56.39
PAN,2024,54.71,Em Expansão,45.29
PAN,2024,54.95,Em Expansão,45.05
PAN,2024,40.6,Em Expansão,59.4
PAN,2024,15.99,Início,84.01
PAN,2024,24.97,Início,75.03
PAN,2024,45.91,Em Expansão,54.09
PAN,2024,55.56,Em Expansão,44.44
PRY,2024,67.95,Em Expansão,32.05
PRY,2024,62.94,Em Expansão,37.06
PRY,2024,68.57,Em Expansão,31.430000000000007
PRY,2024,67.87,Em Expansão,32.129999999999995
PRY,2024,78.87,Líder,21.129999999999995
PRY,2024,71.69,Líder,28.310000000000002
PRY,2024,72.51,Líder,27.489999999999995
PRY,2024,72.17,Líder,27.83
PRY,2024,69.1,Em Expansão,30.900000000000006
PRY,2024,67.01,Em Expansão,32.989999999999995
PRY,2024,66.99,Em Expansão,33.010000000000005
PRY,2024,68.73,Em Expansão,31.269999999999996
PER,2024,28.74,Início,71.26
PER,2024,32.79,Início,67.21000000000001
PER,2024,38.53,Início,61.47
PER,2024,2.85,Início,97.15
PER,2024,33.87,Início,66.13
PER,2024,17.96,Início,82.03999999999999
PER,2024,34.77,Início,65.22999999999999
PER,2024,24.42,Início,75.58
PER,2024,23.06,Início,76.94
PER,2024,19.68,Início,80.32
PER,2024,27.7,Início,72.3
POL,2024,73.08,Líder,26.92
POL,2024,70.08,Líder,29.92
POL,2024,85.36,Líder,14.64
POL,2024,88.44,Líder,11.560000000000002
POL,2024,87.33,Líder,12.670000000000002
POL,2024,87.94,Líder,12.060000000000002
POL,2024,89.15,Líder,10.849999999999994
POL,2024,87.14,Líder,12.86
POL,2024,85.41,Líder,14.590000000000003
POL,2024,80.94,Líder,19.060000000000002
POL,2024,83.3,Líder,16.700000000000003
POL,2024,85.45,Líder,14.549999999999997
PRT,2024,47.64,Em Expansão,52.36
PRT,2024,69.11,Em Expansão,30.89
PRT,2024,71.28,Líder,28.72
PRT,2024,74.69,Líder,25.310000000000002
PRT,2024,70.11,Líder,29.89
PRT,2024,69.68,Em Expansão,30.319999999999993
PRT,2024,76.02,Líder,23.980000000000004
PRT,2024,58.18,Em Expansão,41.82
PRT,2024,74.23,Líder,25.769999999999996
PRT,2024,70.19,Líder,29.810000000000002
PRT,2024,23.93,Início,76.07
PRT,2024,70.06,Líder,29.939999999999998
PRT,2024,68.72,Em Expansão,31.28
SAU,2024,90.12,Líder,9.879999999999995
SAU,2024,87.45,Líder,12.549999999999997
SAU,2024,88.46,Líder,11.540000000000006
SAU,2024,86.73,Líder,13.269999999999996
SAU,2024,86.38,Líder,13.620000000000005
SAU,2024,89.63,Líder,10.370000000000005
SAU,2024,89.11,Líder,10.89
SAU,2024,89.05,Líder,10.950000000000003
SAU,2024,90.16,Líder,9.840000000000003
SAU,2024,89.67,Líder,10.329999999999998
SAU,2024,59.0,Em Expansão,41.0
SAU,2024,90.86,Líder,9.14
SAU,2024,85.53,Líder,14.469999999999999
SRB,2024,57.4,Em Expansão,42.6
SRB,2024,78.81,Líder,21.189999999999998
SRB,2024,66.43,Em Expansão,33.56999999999999
SRB,2024,75.35,Líder,24.650000000000006
SRB,2024,65.3,Em Expansão,34.7
SRB,2024,68.5,Em Expansão,31.5
SRB,2024,66.64,Em Expansão,33.36
SRB,2024,66.55,Em Expansão,33.45
SRB,2024,67.24,Em Expansão,32.760000000000005
SRB,2024,62.34,Em Expansão,37.66
